     1→// MOT Hashcat Playground — 20 progressive challenges
     2→// All hashes are well-known public test vectors for educational use only.
     3→
     4→export type ChallengeDifficulty = "Beginner" | "Intermediate" | "Advanced";
     5→
     6→export interface Challenge {
     7→  id: number;
   820→      "Use a 16+ character random passphrase for any cryptocurrency wallet.",
   821→      "Prefer hardware wallets — they eliminate the wallet.dat attack surface.",
   822→      "Back up the seed phrase offline (metal plate) and never store it digitally.",
   823→    ],
   824→    xp: 500,
   825→  },
   826→];
   827→
   828→export function getChallenge(id: number): Challenge | undefined {
   829→  return CHALLENGES.find((c) => c.id === id);
   830→}
   831→
   832→export function getModuleChallenges(moduleName: string): Challenge[] {
   833→  return CHALLENGES.filter((c) => c.module === moduleName);
   834→}
   835→
   836→export const MODULES = [
   837→  {
   838→    name: "MD5",
   839→    code: "MODULE 1",
   840→    description: "Master the foundational hash function. 5 challenges covering cracking, wordlists, masks, and mode identification.",
   841→    color: "#00E5FF",
   842→    challenges: [1, 2, 3, 4, 5],
   843→  },
   844→  {
   845→    name: "SHA1",
   846→    code: "MODULE 2",
   847→    description: "Progress to 160-bit hashing. 5 challenges covering rules, masks, mode selection, and wordlist + rules strategy.",
   848→    color: "#00FF88",
   849→    challenges: [6, 7, 8, 9, 10],
   850→  },
   851→  {
   852→    name: "SHA2-256",
   853→    code: "MODULE 3",
   854→    description: "Modern 256-bit hashing. 5 challenges covering hybrid attacks, combinator attacks, and salted variants.",
   855→    color: "#FFC857",
   856→    challenges: [11, 12, 13, 14, 15],
   857→  },
   858→  {
   859→    name: "WALLET.DAT",
   860→    code: "MODULE 4",
   861→    description: "Capstone module on simulated wallet recovery. 5 challenges covering identification, mode selection, command building, attack planning, and full recovery. Mock training files only — no real cryptocurrency.",
   862→    color: "#B484FF",
   863→    challenges: [16, 17, 18, 19, 20],
   864→  },
   865→];
   866→
   867→export const TOTAL_XP = CHALLENGES.reduce((sum, c) => sum + c.xp, 0);
   868→
